conferenceGames,expectedWins,division,conference,year,homeGames,teamId,team,awayGames,total
"{'games': 9, 'wins': 6, 'losses': 3, 'ties': 0}",0,West,SEC,2000,"{'games': 7, 'wins': 7, 'losses': 0, 'ties': 0}",2,Auburn,"{'games': 4, 'wins': 2, 'losses': 2, 'ties': 0}","{'games': 13, 'wins': 9, 'losses': 4, 'ties': 0}"
"{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}",0,,Conference USA,2000,"{'games': 6, 'wins': 4, 'losses': 2, 'ties': 0}",5,UAB,"{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 11, 'wins': 7, 'losses': 4, 'ties': 0}"
"{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}",0,West,SEC,2000,"{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}",8,Arkansas,"{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 12, 'wins': 6, 'losses': 6, 'ties': 0}"
"{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}",0,,Pac-10,2000,"{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}",9,Arizona State,"{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 12, 'wins': 6, 'losses': 6, 'ties': 0}"
"{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}",0,,Pac-10,2000,"{'games': 6, 'wins': 2, 'losses': 4, 'ties': 0}",12,Arizona,"{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}"
"{'games': 7, 'wins': 3, 'losses': 4, 'ties': 0}",0,,Mountain West,2000,"{'games': 5, 'wins': 0, 'losses': 5, 'ties': 0}",21,San Diego State,"{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}"
"{'games': 8, 'wins': 5, 'losses': 3, 'ties': 0}",0,,Western Athletic,2000,"{'games': 5, 'wins': 3, 'losses': 2, 'ties': 0}",23,San José State,"{'games': 7, 'wins': 4, 'losses': 3, 'ties': 0}","{'games': 12, 'wins': 7, 'losses': 5, 'ties': 0}"
"{'games': 8, 'wins': 4, 'losses': 4, 'ties': 0}",0,,Pac-10,2000,"{'games': 6, 'wins': 3, 'losses': 3, 'ties': 0}",24,Stanford,"{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}","{'games': 11, 'wins': 5, 'losses': 6, 'ties': 0}"
"{'games': 8, 'wins': 2, 'losses': 6, 'ties': 0}",0,,Pac-10,2000,"{'games': 5, 'wins': 2, 'losses': 3, 'ties': 0}",25,California,"{'games': 6, 'wins': 1, 'losses': 5, 'ties': 0}","{'games': 11, 'wins': 3, 'losses': 8, 'ties': 0}"
"{'games': 8, 'wins': 3, 'losses': 5, 'ties': 0}",0,,Pac-10,2000,"{'games': 7, 'wins': 5, 'losses': 2, 'ties': 0}",26,UCLA,"{'games': 4, 'wins': 1, 'losses': 3, 'ties': 0}","{'games': 12, 'wins': 6, 'losses': 6, 'ties': 0}"